Sample_no,Experiment,Day,Sex,Cage,Bowel_prep,Salmonella,ST_Dose,Plate,Day_0,Day_1,Day_3,Liver,mLN,Spleen
1,I1,Day 1,M,A,Bowel Prep,Yes,10000000,Strep,200,400000000.00,,25.69,1639344262.00,1152.07
2,I1,Day 3,M,A,Bowel Prep,Yes,10000000,Strep,200,,60000000000.00,40939.56,310000000.00,160919.54
3,I1,Day 1,M,B,Bowel Prep,Yes,10000000,Strep,200,6000000000.00,,13574660.63,490566.04,6724.30
4,I1,Day 1,M,B,Bowel Prep,Yes,10000000,Strep,200,4000000000.00,,131221.72,4306220.10,1073985.68
5,I1,Day 3,M,B,Bowel Prep,Yes,10000000,Strep,200,,60000000000.00,310398000000.00,198675.50,429769.39
6,I1,Day 3,M,B,Bowel Prep,Yes,10000000,Strep,200,,60000000000.00,33314825.10,392156862.70,84985.84
7,I1,Day 1,F,C,Bowel Prep,Yes,10000000,Strep,200,40000000000.00,,5177.51,9722222.22,25.69
8,I1,Day 1,F,C,Bowel Prep,Yes,10000000,Strep,200,59000000000.00,,117647.06,257142.86,534.19
9,I1,Day 1,F,C,Bowel Prep,Yes,10000000,Strep,200,6000000000.00,,583.43,264705.88,3931.85
10,I1,Day 3,F,C,Bowel Prep,Yes,10000000,Strep,200,,60000000000.00,,25.69,66666666667.00
11,I1,Day 3,F,C,Bowel Prep,Yes,10000000,Strep,200,,6000000000.00,6141248721.00,209059000000.00,374332000000.00
12,I1,Day 1,F,D,Bowel Prep,Yes,10000000,Strep,200,460000000.00,,407239.82,,105263.16
13,I1,Day 1,F,D,Bowel Prep,Yes,10000000,Strep,200,6000000000.00,,633484.16,1068702.29,229095.07
14,I1,Day 3,F,D,Bowel Prep,Yes,10000000,Strep,200,,600000000000.00,,171428571.40,2851885.93
15,I1,Day 3,F,D,Bowel Prep,Yes,10000000,Strep,200,,600000000000.00,,2215189873.00,24175824.18
16,I1,Day 3,F,D,Bowel Prep,Yes,10000000,Strep,200,,600000000000.00,,226415094.30,5181347.15
