"Taxa","Sample","Relative_abundance","Tissue","Timepoint","BP"
"unclassified Unassigned","CC-1",0,"Feces","baseline","No"
"unclassified Unassigned","CC-2",0,"Feces","baseline","No"
"unclassified Unassigned","CC-3",0,"Feces","baseline","No"
"unclassified Unassigned","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Unassigned","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Unassigned","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Unassigned","CC-7",0,"Feces","48h","Yes"
"unclassified Unassigned","CC-8",0,"Feces","48h","Yes"
"unclassified Unassigned","CC-9",0,"Feces","48h","Yes"
"unclassified Unassigned","CC-10",0,"Feces","60h","Yes"
"unclassified Unassigned","CC-11",0,"Feces","60h","Yes"
"unclassified Unassigned","CC-12",0.000196399,"Feces","60h","Yes"
"unclassified Unassigned","CC-13",0,"Feces","recovery","Yes"
"unclassified Unassigned","CC-14",0,"Feces","recovery","Yes"
"unclassified Unassigned","CC-15",0,"Feces","recovery","Yes"
"unclassified Unassigned","CC-16",0,"MLN","24h","Yes"
"unclassified Unassigned","CC-17",0,"MLN","baseline","No"
"unclassified Unassigned","CC-18",0,"Spleen","24h","Yes"
"unclassified Unassigned","CC-19",0,"MLN","recovery","Yes"
"unclassified Unassigned","CC-20",0,"Spleen","recovery","Yes"
"unclassified Bacteria","CC-1",0.000287006,"Feces","baseline","No"
"unclassified Bacteria","CC-2",0.000658274,"Feces","baseline","No"
"unclassified Bacteria","CC-3",0,"Feces","baseline","No"
"unclassified Bacteria","CC-4",0.000249314,"Feces","osmotic_diarrhea","Yes"
"unclassified Bacteria","CC-5",0.000597193,"Feces","osmotic_diarrhea","Yes"
"unclassified Bacteria","CC-6",0.001365143,"Feces","osmotic_diarrhea","Yes"
"unclassified Bacteria","CC-7",0,"Feces","48h","Yes"
"unclassified Bacteria","CC-8",0,"Feces","48h","Yes"
"unclassified Bacteria","CC-9",0.001357378,"Feces","48h","Yes"
"unclassified Bacteria","CC-10",0,"Feces","60h","Yes"
"unclassified Bacteria","CC-11",0,"Feces","60h","Yes"
"unclassified Bacteria","CC-12",0,"Feces","60h","Yes"
"unclassified Bacteria","CC-13",0.000213599,"Feces","recovery","Yes"
"unclassified Bacteria","CC-14",0,"Feces","recovery","Yes"
"unclassified Bacteria","CC-15",0,"Feces","recovery","Yes"
"unclassified Bacteria","CC-16",0,"MLN","24h","Yes"
"unclassified Bacteria","CC-17",0,"MLN","baseline","No"
"unclassified Bacteria","CC-18",0,"Spleen","24h","Yes"
"unclassified Bacteria","CC-19",0,"MLN","recovery","Yes"
"unclassified Bacteria","CC-20",0,"Spleen","recovery","Yes"
"Bifidobacterium","CC-1",0,"Feces","baseline","No"
"Bifidobacterium","CC-2",0,"Feces","baseline","No"
"Bifidobacterium","CC-3",0,"Feces","baseline","No"
"Bifidobacterium","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Bifidobacterium","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Bifidobacterium","CC-6",0.000520055,"Feces","osmotic_diarrhea","Yes"
"Bifidobacterium","CC-7",0,"Feces","48h","Yes"
"Bifidobacterium","CC-8",0.000308833,"Feces","48h","Yes"
"Bifidobacterium","CC-9",0,"Feces","48h","Yes"
"Bifidobacterium","CC-10",0,"Feces","60h","Yes"
"Bifidobacterium","CC-11",0,"Feces","60h","Yes"
"Bifidobacterium","CC-12",0.000196399,"Feces","60h","Yes"
"Bifidobacterium","CC-13",0,"Feces","recovery","Yes"
"Bifidobacterium","CC-14",0,"Feces","recovery","Yes"
"Bifidobacterium","CC-15",0,"Feces","recovery","Yes"
"Bifidobacterium","CC-16",0,"MLN","24h","Yes"
"Bifidobacterium","CC-17",0,"MLN","baseline","No"
"Bifidobacterium","CC-18",0,"Spleen","24h","Yes"
"Bifidobacterium","CC-19",0,"MLN","recovery","Yes"
"Bifidobacterium","CC-20",0,"Spleen","recovery","Yes"
"Adlercreutzia","CC-1",0,"Feces","baseline","No"
"Adlercreutzia","CC-2",0,"Feces","baseline","No"
"Adlercreutzia","CC-3",0.000266907,"Feces","baseline","No"
"Adlercreutzia","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Adlercreutzia","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Adlercreutzia","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Adlercreutzia","CC-7",0.000375141,"Feces","48h","Yes"
"Adlercreutzia","CC-8",0.000823554,"Feces","48h","Yes"
"Adlercreutzia","CC-9",0,"Feces","48h","Yes"
"Adlercreutzia","CC-10",0,"Feces","60h","Yes"
"Adlercreutzia","CC-11",0.000392003,"Feces","60h","Yes"
"Adlercreutzia","CC-12",0.000196399,"Feces","60h","Yes"
"Adlercreutzia","CC-13",0.000640797,"Feces","recovery","Yes"
"Adlercreutzia","CC-14",0.000842578,"Feces","recovery","Yes"
"Adlercreutzia","CC-15",0.000517981,"Feces","recovery","Yes"
"Adlercreutzia","CC-16",0,"MLN","24h","Yes"
"Adlercreutzia","CC-17",0,"MLN","baseline","No"
"Adlercreutzia","CC-18",0,"Spleen","24h","Yes"
"Adlercreutzia","CC-19",0,"MLN","recovery","Yes"
"Adlercreutzia","CC-20",0,"Spleen","recovery","Yes"
"Eggerthella","CC-1",0,"Feces","baseline","No"
"Eggerthella","CC-2",0,"Feces","baseline","No"
"Eggerthella","CC-3",0,"Feces","baseline","No"
"Eggerthella","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Eggerthella","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Eggerthella","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Eggerthella","CC-7",0,"Feces","48h","Yes"
"Eggerthella","CC-8",0,"Feces","48h","Yes"
"Eggerthella","CC-9",0,"Feces","48h","Yes"
"Eggerthella","CC-10",0,"Feces","60h","Yes"
"Eggerthella","CC-11",0,"Feces","60h","Yes"
"Eggerthella","CC-12",0,"Feces","60h","Yes"
"Eggerthella","CC-13",0,"Feces","recovery","Yes"
"Eggerthella","CC-14",0,"Feces","recovery","Yes"
"Eggerthella","CC-15",0,"Feces","recovery","Yes"
"Eggerthella","CC-16",0.000519181,"MLN","24h","Yes"
"Eggerthella","CC-17",0,"MLN","baseline","No"
"Eggerthella","CC-18",0,"Spleen","24h","Yes"
"Eggerthella","CC-19",0,"MLN","recovery","Yes"
"Eggerthella","CC-20",0,"Spleen","recovery","Yes"
"Enterorhabdus","CC-1",0,"Feces","baseline","No"
"Enterorhabdus","CC-2",0,"Feces","baseline","No"
"Enterorhabdus","CC-3",0,"Feces","baseline","No"
"Enterorhabdus","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Enterorhabdus","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Enterorhabdus","CC-6",0.000325034,"Feces","osmotic_diarrhea","Yes"
"Enterorhabdus","CC-7",0,"Feces","48h","Yes"
"Enterorhabdus","CC-8",0,"Feces","48h","Yes"
"Enterorhabdus","CC-9",0,"Feces","48h","Yes"
"Enterorhabdus","CC-10",0,"Feces","60h","Yes"
"Enterorhabdus","CC-11",0,"Feces","60h","Yes"
"Enterorhabdus","CC-12",0,"Feces","60h","Yes"
"Enterorhabdus","CC-13",0,"Feces","recovery","Yes"
"Enterorhabdus","CC-14",0,"Feces","recovery","Yes"
"Enterorhabdus","CC-15",0,"Feces","recovery","Yes"
"Enterorhabdus","CC-16",0,"MLN","24h","Yes"
"Enterorhabdus","CC-17",0,"MLN","baseline","No"
"Enterorhabdus","CC-18",0,"Spleen","24h","Yes"
"Enterorhabdus","CC-19",0,"MLN","recovery","Yes"
"Enterorhabdus","CC-20",0,"Spleen","recovery","Yes"
"Bacteroides","CC-1",0.225227811,"Feces","baseline","No"
"Bacteroides","CC-2",0.341314902,"Feces","baseline","No"
"Bacteroides","CC-3",0.156040436,"Feces","baseline","No"
"Bacteroides","CC-4",0.353091498,"Feces","osmotic_diarrhea","Yes"
"Bacteroides","CC-5",0.267318603,"Feces","osmotic_diarrhea","Yes"
"Bacteroides","CC-6",0.296171098,"Feces","osmotic_diarrhea","Yes"
"Bacteroides","CC-7",0.278291859,"Feces","48h","Yes"
"Bacteroides","CC-8",0.297199918,"Feces","48h","Yes"
"Bacteroides","CC-9",0.417426152,"Feces","48h","Yes"
"Bacteroides","CC-10",0.270042194,"Feces","60h","Yes"
"Bacteroides","CC-11",0.175303802,"Feces","60h","Yes"
"Bacteroides","CC-12",0.413944354,"Feces","60h","Yes"
"Bacteroides","CC-13",0.281950872,"Feces","recovery","Yes"
"Bacteroides","CC-14",0.261971633,"Feces","recovery","Yes"
"Bacteroides","CC-15",0.356445168,"Feces","recovery","Yes"
"Bacteroides","CC-16",0.433112201,"MLN","24h","Yes"
"Bacteroides","CC-17",0.582554312,"MLN","baseline","No"
"Bacteroides","CC-18",0.291316188,"Spleen","24h","Yes"
"Bacteroides","CC-19",0.084652981,"MLN","recovery","Yes"
"Bacteroides","CC-20",0,"Spleen","recovery","Yes"
"Coprobacter","CC-1",0.00100452,"Feces","baseline","No"
"Coprobacter","CC-2",0.003538221,"Feces","baseline","No"
"Coprobacter","CC-3",0.001601441,"Feces","baseline","No"
"Coprobacter","CC-4",0.000997258,"Feces","osmotic_diarrhea","Yes"
"Coprobacter","CC-5",0.002687369,"Feces","osmotic_diarrhea","Yes"
"Coprobacter","CC-6",0.002405253,"Feces","osmotic_diarrhea","Yes"
"Coprobacter","CC-7",0.002500938,"Feces","48h","Yes"
"Coprobacter","CC-8",0.002985382,"Feces","48h","Yes"
"Coprobacter","CC-9",0.00374895,"Feces","48h","Yes"
"Coprobacter","CC-10",0.005046744,"Feces","60h","Yes"
"Coprobacter","CC-11",0.000784006,"Feces","60h","Yes"
"Coprobacter","CC-12",0.004582651,"Feces","60h","Yes"
"Coprobacter","CC-13",0.003702385,"Feces","recovery","Yes"
"Coprobacter","CC-14",0.001263867,"Feces","recovery","Yes"
"Coprobacter","CC-15",0.002367915,"Feces","recovery","Yes"
"Coprobacter","CC-16",0,"MLN","24h","Yes"
"Coprobacter","CC-17",0,"MLN","baseline","No"
"Coprobacter","CC-18",0,"Spleen","24h","Yes"
"Coprobacter","CC-19",0,"MLN","recovery","Yes"
"Coprobacter","CC-20",0,"Spleen","recovery","Yes"
"Prevotella","CC-1",0,"Feces","baseline","No"
"Prevotella","CC-2",0.000164568,"Feces","baseline","No"
"Prevotella","CC-3",0.25744837,"Feces","baseline","No"
"Prevotella","CC-4",0.000249314,"Feces","osmotic_diarrhea","Yes"
"Prevotella","CC-5",0.001940878,"Feces","osmotic_diarrhea","Yes"
"Prevotella","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Prevotella","CC-7",0.005502063,"Feces","48h","Yes"
"Prevotella","CC-8",0.013073914,"Feces","48h","Yes"
"Prevotella","CC-9",0.000581734,"Feces","48h","Yes"
"Prevotella","CC-10",0.015719368,"Feces","60h","Yes"
"Prevotella","CC-11",0.034731478,"Feces","60h","Yes"
"Prevotella","CC-12",0.005237316,"Feces","60h","Yes"
"Prevotella","CC-13",0.000640797,"Feces","recovery","Yes"
"Prevotella","CC-14",0.001544727,"Feces","recovery","Yes"
"Prevotella","CC-15",0,"Feces","recovery","Yes"
"Prevotella","CC-16",0,"MLN","24h","Yes"
"Prevotella","CC-17",0,"MLN","baseline","No"
"Prevotella","CC-18",0,"Spleen","24h","Yes"
"Prevotella","CC-19",0,"MLN","recovery","Yes"
"Prevotella","CC-20",0.000135474,"Spleen","recovery","Yes"
"uncultured","CC-1",0,"Feces","baseline","No"
"uncultured","CC-2",0,"Feces","baseline","No"
"uncultured","CC-3",0,"Feces","baseline","No"
"uncultured","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-7",0,"Feces","48h","Yes"
"uncultured","CC-8",0,"Feces","48h","Yes"
"uncultured","CC-9",0.000193911,"Feces","48h","Yes"
"uncultured","CC-10",0,"Feces","60h","Yes"
"uncultured","CC-11",0,"Feces","60h","Yes"
"uncultured","CC-12",0,"Feces","60h","Yes"
"uncultured","CC-13",0,"Feces","recovery","Yes"
"uncultured","CC-14",0,"Feces","recovery","Yes"
"uncultured","CC-15",0,"Feces","recovery","Yes"
"uncultured","CC-16",0,"MLN","24h","Yes"
"uncultured","CC-17",0,"MLN","baseline","No"
"uncultured","CC-18",0,"Spleen","24h","Yes"
"uncultured","CC-19",0,"MLN","recovery","Yes"
"uncultured","CC-20",0,"Spleen","recovery","Yes"
"Coprothermobacter","CC-1",0,"Feces","baseline","No"
"Coprothermobacter","CC-2",0,"Feces","baseline","No"
"Coprothermobacter","CC-3",0,"Feces","baseline","No"
"Coprothermobacter","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Coprothermobacter","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Coprothermobacter","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Coprothermobacter","CC-7",0,"Feces","48h","Yes"
"Coprothermobacter","CC-8",0,"Feces","48h","Yes"
"Coprothermobacter","CC-9",0,"Feces","48h","Yes"
"Coprothermobacter","CC-10",0,"Feces","60h","Yes"
"Coprothermobacter","CC-11",0,"Feces","60h","Yes"
"Coprothermobacter","CC-12",0.000130933,"Feces","60h","Yes"
"Coprothermobacter","CC-13",0,"Feces","recovery","Yes"
"Coprothermobacter","CC-14",0,"Feces","recovery","Yes"
"Coprothermobacter","CC-15",0,"Feces","recovery","Yes"
"Coprothermobacter","CC-16",0,"MLN","24h","Yes"
"Coprothermobacter","CC-17",0,"MLN","baseline","No"
"Coprothermobacter","CC-18",0,"Spleen","24h","Yes"
"Coprothermobacter","CC-19",0,"MLN","recovery","Yes"
"Coprothermobacter","CC-20",0,"Spleen","recovery","Yes"
"Bilophila","CC-1",0.000789266,"Feces","baseline","No"
"Bilophila","CC-2",0.002715379,"Feces","baseline","No"
"Bilophila","CC-3",0.002502252,"Feces","baseline","No"
"Bilophila","CC-4",0.002306158,"Feces","osmotic_diarrhea","Yes"
"Bilophila","CC-5",0.002463422,"Feces","osmotic_diarrhea","Yes"
"Bilophila","CC-6",0.001820191,"Feces","osmotic_diarrhea","Yes"
"Bilophila","CC-7",0.002188321,"Feces","48h","Yes"
"Bilophila","CC-8",0.003757463,"Feces","48h","Yes"
"Bilophila","CC-9",0.002068386,"Feces","48h","Yes"
"Bilophila","CC-10",0.002482005,"Feces","60h","Yes"
"Bilophila","CC-11",0.001176009,"Feces","60h","Yes"
"Bilophila","CC-12",0.002553191,"Feces","60h","Yes"
"Bilophila","CC-13",0.002349591,"Feces","recovery","Yes"
"Bilophila","CC-14",0.002808594,"Feces","recovery","Yes"
"Bilophila","CC-15",0.003847861,"Feces","recovery","Yes"
"Bilophila","CC-16",0.000288434,"MLN","24h","Yes"
"Bilophila","CC-17",0.00118499,"MLN","baseline","No"
"Bilophila","CC-18",0,"Spleen","24h","Yes"
"Bilophila","CC-19",0,"MLN","recovery","Yes"
"Bilophila","CC-20",0,"Spleen","recovery","Yes"
"Candidatus_Stoquefichus","CC-1",0.000215254,"Feces","baseline","No"
"Candidatus_Stoquefichus","CC-2",0.000411421,"Feces","baseline","No"
"Candidatus_Stoquefichus","CC-3",0.001301171,"Feces","baseline","No"
"Candidatus_Stoquefichus","CC-4",0.000249314,"Feces","osmotic_diarrhea","Yes"
"Candidatus_Stoquefichus","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Candidatus_Stoquefichus","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Candidatus_Stoquefichus","CC-7",0.000375141,"Feces","48h","Yes"
"Candidatus_Stoquefichus","CC-8",0,"Feces","48h","Yes"
"Candidatus_Stoquefichus","CC-9",0,"Feces","48h","Yes"
"Candidatus_Stoquefichus","CC-10",0,"Feces","60h","Yes"
"Candidatus_Stoquefichus","CC-11",0,"Feces","60h","Yes"
"Candidatus_Stoquefichus","CC-12",0,"Feces","60h","Yes"
"Candidatus_Stoquefichus","CC-13",0.000355999,"Feces","recovery","Yes"
"Candidatus_Stoquefichus","CC-14",0,"Feces","recovery","Yes"
"Candidatus_Stoquefichus","CC-15",0,"Feces","recovery","Yes"
"Candidatus_Stoquefichus","CC-16",0,"MLN","24h","Yes"
"Candidatus_Stoquefichus","CC-17",0,"MLN","baseline","No"
"Candidatus_Stoquefichus","CC-18",0,"Spleen","24h","Yes"
"Candidatus_Stoquefichus","CC-19",0,"MLN","recovery","Yes"
"Candidatus_Stoquefichus","CC-20",0,"Spleen","recovery","Yes"
"Coprobacillus","CC-1",0,"Feces","baseline","No"
"Coprobacillus","CC-2",0.000411421,"Feces","baseline","No"
"Coprobacillus","CC-3",0.000884129,"Feces","baseline","No"
"Coprobacillus","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Coprobacillus","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Coprobacillus","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Coprobacillus","CC-7",0,"Feces","48h","Yes"
"Coprobacillus","CC-8",0.000360305,"Feces","48h","Yes"
"Coprobacillus","CC-9",0.000840282,"Feces","48h","Yes"
"Coprobacillus","CC-10",0.000413668,"Feces","60h","Yes"
"Coprobacillus","CC-11",0.000235202,"Feces","60h","Yes"
"Coprobacillus","CC-12",0.000654664,"Feces","60h","Yes"
"Coprobacillus","CC-13",0.000711997,"Feces","recovery","Yes"
